Date,Game,Opposition,Home/Away,Metric,Value
2024-09-07,London Cornish (H),London Cornish,H,PF,16
2024-10-12,Hove (H),Hove,H,PF,21
2024-10-19,Twickenham (A),Twickenham,A,PF,33
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,PF,29
2024-11-09,Eastbourne (A),Eastbourne,A,PF,36
2024-11-16,Trinity (H),Trinity,H,PF,14
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,PF,18
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,PF,14
2025-01-18,Twickenham (H),Twickenham,H,PF,10
2025-02-08,Hove (A),Hove,A,PF,11
2024-09-07,London Cornish (H),London Cornish,H,PA,18
2024-10-12,Hove (H),Hove,H,PA,34
2024-10-19,Twickenham (A),Twickenham,A,PA,41
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,PA,33
2024-11-09,Eastbourne (A),Eastbourne,A,PA,33
2024-11-16,Trinity (H),Trinity,H,PA,48
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,PA,5
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,PA,20
2025-01-18,Twickenham (H),Twickenham,H,PA,47
2025-02-08,Hove (A),Hove,A,PA,18
2024-09-07,London Cornish (H),London Cornish,H,PD,-2
2024-10-12,Hove (H),Hove,H,PD,-13
2024-10-19,Twickenham (A),Twickenham,A,PD,-8
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,PD,-4
2024-11-09,Eastbourne (A),Eastbourne,A,PD,+3
2024-11-16,Trinity (H),Trinity,H,PD,-34
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,PD,+13
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,PD,-6
2025-01-18,Twickenham (H),Twickenham,H,PD,-37
2025-02-08,Hove (A),Hove,A,PD,-7
2024-09-07,London Cornish (H),London Cornish,H,BIP Time,36:05
2024-10-12,Hove (H),Hove,H,BIP Time,39:25
2024-10-19,Twickenham (A),Twickenham,A,BIP Time,34:23
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,BIP Time,38:31
2024-11-09,Eastbourne (A),Eastbourne,A,BIP Time,34:35
2024-11-16,Trinity (H),Trinity,H,BIP Time,35:15
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,BIP Time,39:30
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,BIP Time,39:35
2025-01-18,Twickenham (H),Twickenham,H,BIP Time,41:07
2025-02-08,Hove (A),Hove,A,BIP Time,40:38
