season,#,TEAM,P,W,D,L,PF,PA,PD,BP,Pts,team_id
2003-2004,1,Aylesford Bulls,18,15,0,3,490,200,290,0,30,7134
2003-2004,2,Folkestone,18,15,0,3,417,202,215,0,30,7134
2003-2004,3,Old Dunstonians,18,14,0,4,452,218,234,0,28,7134
2003-2004,4,East Grinstead,18,11,1,6,313,270,43,0,23,7134
2003-2004,5,Crawley,18,8,0,10,247,362,-115,0,16,7134
2003-2004,6,Ashford,18,7,1,10,285,251,34,0,15,7134
2003-2004,7,Eastbourne,18,6,3,9,266,285,-19,0,15,7134
2003-2004,8,Bromley,18,6,2,10,241,313,-72,0,14,7134
2003-2004,9,Betteshanger,18,2,1,15,147,409,-262,0,5,7134
2003-2004,10,Uckfield,18,2,0,16,178,526,-348,0,4,7134
2004-2005,1,Old Dunstonians,18,17,0,1,613,141,472,0,34,7134
2004-2005,2,Lordswood,18,11,1,6,329,246,83,0,23,7134
2004-2005,3,Eastbourne,18,11,0,7,331,323,8,0,22,7134
2004-2005,4,Old Elthamians,18,9,1,8,296,372,-76,0,19,7134
2004-2005,5,Hove,18,10,0,8,374,297,77,0,18,7134
2004-2005,6,Betteshanger,18,9,0,9,211,216,-5,0,18,7134
2004-2005,7,Bromley,18,8,1,9,244,253,-9,0,15,7134
2004-2005,8,East Grinstead,17,6,1,10,278,320,-42,0,13,7134
2004-2005,9,Ashford,17,3,0,14,190,434,-244,0,6,7134
2004-2005,10,Crawley,18,3,0,15,197,461,-264,0,6,7134
2005-2006,1,Old Elthamians,18,13,0,5,461,278,183,0,26,7134
2005-2006,2,Betteshanger,18,14,0,4,378,214,164,0,24,7134
2005-2006,3,Dover,18,11,1,6,381,247,134,0,23,7134
2005-2006,4,Hove,18,10,1,7,361,339,22,0,21,7134
2005-2006,5,Charlton Park,18,9,0,9,395,304,91,0,18,7134
2005-2006,6,Bromley,18,9,0,9,326,279,47,0,18,7134
2005-2006,7,Eastbourne,18,9,0,9,279,339,-60,0,18,7134
2005-2006,8,Sittingbourne,18,8,0,10,269,321,-52,0,16,7134
2005-2006,9,Horsham,18,5,0,13,275,427,-152,0,10,7134
2005-2006,10,East Grinstead,18,1,0,17,168,545,-377,0,2,7134
2006-2007,1,Hastings & Bexhill,18,16,1,1,724,173,551,0,33,7134
2006-2007,2,Horsham,18,16,0,2,590,219,371,0,32,7134
2006-2007,3,Heathfield & Waldron,18,13,0,5,416,180,236,0,26,7134
2006-2007,4,Uckfield,18,9,1,8,422,308,114,0,19,7134
2006-2007,5,Burgess Hill,18,9,1,8,357,326,31,0,19,7134
2006-2007,6,East Grinstead,18,8,0,10,348,331,17,0,16,7134
2006-2007,7,Crawley,18,6,1,11,298,435,-137,0,13,7134
2006-2007,8,Seaford,18,6,0,12,303,524,-221,0,12,7134
2006-2007,9,Pulborough,18,4,0,14,284,429,-145,0,8,7134
2006-2007,10,Plumpton,18,1,0,17,160,977,-817,0,2,7134
2007-2008,1,Heathfield & Waldron,16,16,0,0,540,81,459,0,32,7134
2007-2008,2,East Grinstead,16,12,1,3,456,186,270,0,25,7134
2007-2008,3,Uckfield,16,10,1,5,324,202,122,0,21,7134
2007-2008,4,Brighton,16,9,0,7,342,302,40,0,18,7134
2007-2008,5,Seaford,16,8,0,8,260,297,-37,0,16,7134
2007-2008,6,Crawley,16,7,0,9,253,291,-38,0,14,7134
2007-2008,7,Hellingly,16,3,0,13,197,463,-266,0,6,7134
2007-2008,8,Pulborough,16,3,0,13,181,450,-269,0,6,7134
2007-2008,9,Burgess Hill,16,3,0,13,198,479,-281,0,6,7134
2008-2009,1,Tonbridge Juddians,22,22,0,0,1085,163,922,0,44,7134
2008-2009,2,Bromley,22,18,0,4,494,234,260,0,36,7134
2008-2009,3,Heathfield & Waldron,22,17,0,5,491,215,276,0,34,7134
2008-2009,4,Folkestone,22,12,0,10,346,433,-87,0,24,7134
2008-2009,5,Park House,22,11,0,11,338,462,-124,0,22,7134
2008-2009,6,Charlton Park,22,10,1,11,411,421,-10,0,21,7134
2008-2009,7,Crowborough,22,11,0,11,346,370,-24,0,20,7134
2008-2009,8,Horsham,22,10,0,12,405,448,-43,0,18,7134
2008-2009,9,East Grinstead,22,8,0,14,399,408,-9,0,16,7134
2008-2009,10,Whitstable,22,7,1,14,251,501,-250,0,15,7134
2008-2009,11,Hastings & Bexhill,22,3,0,19,204,676,-472,0,6,7134
2008-2009,12,Beccehamian,22,2,0,20,219,658,-439,0,2,7134
2009-2010,1,East Grinstead,22,19,0,3,928,207,721,0,38,7134
2009-2010,2,Brighton,22,19,0,3,840,232,608,0,38,7134
2009-2010,3,Heathfield & Wald'n,22,19,0,3,651,158,493,0,38,7134
2009-2010,4,Charlton Park,22,14,0,8,452,284,168,0,28,7134
2009-2010,5,Crowborough,22,11,1,10,534,359,175,0,23,7134
2009-2010,6,Medway,22,11,0,11,441,390,51,0,22,7134
2009-2010,7,Folkestone,22,9,0,13,476,397,79,0,18,7134
2009-2010,8,Horsham,22,8,2,12,441,654,-213,0,16,7134
2009-2010,9,Park House,22,10,0,12,414,546,-132,0,10,7134
2009-2010,10,Hastings & Bexhill,22,4,1,17,219,790,-571,0,9,7134
2009-2010,11,Whitstable,22,3,0,19,167,796,-629,0,6,7134
2009-2010,12,Old Gravesendians,22,3,0,19,199,949,-750,0,6,7134
2010-2011,1,Old Elthamians,22,20,0,2,907,307,600,16,96,7134
2010-2011,2,Aylesford Bulls,22,18,0,4,602,300,302,11,83,7134
2010-2011,3,Lewes,22,16,0,6,699,329,370,13,77,7134
2010-2011,4,East Grinstead,22,16,1,5,886,314,572,16,67,7134
2010-2011,5,Sevenoaks,22,13,0,9,739,391,348,15,67,7134
2010-2011,6,Brighton,22,11,1,10,447,475,-28,11,57,7134
2010-2011,7,Old Dunstonians,22,7,1,14,423,527,-104,10,40,7134
2010-2011,8,Warlingham,22,7,0,15,386,735,-349,6,34,7134
2010-2011,9,Trinity,22,4,2,16,356,864,-508,6,26,7134
2010-2011,10,Deal & Betteshanger,22,7,1,14,406,503,-97,8,23,7134
2010-2011,11,Purley John Fisher,22,0,0,22,142,1119,-977,2,-3,7134
2010-2011,12,Maidstone,22,9,0,13,415,544,-129,7,-7,7134
2011-2012,1,East Grinstead,22,21,0,1,710,314,396,17,102,7134
2011-2012,2,Charlton Park,22,17,0,5,595,375,220,10,78,7134
2011-2012,3,Aylesford Bulls,22,16,0,6,570,352,218,14,78,7134
2011-2012,4,Brighton,22,15,1,6,676,358,318,15,77,7134
2011-2012,5,Old Dunstonians,22,13,0,9,522,454,68,15,67,7134
2011-2012,6,Lewes,22,11,1,10,678,444,234,18,64,7134
2011-2012,7,Warlingham,22,10,0,12,444,498,-54,10,50,7134
2011-2012,8,Sevenoaks,22,7,0,15,483,777,-294,9,37,7134
2011-2012,9,Deal & Betteshanger,22,7,0,15,399,557,-158,8,36,7134
2011-2012,10,Heathfield & Waldron,22,6,0,16,363,447,-84,10,34,7134
2011-2012,11,Tunbridge Wells,22,6,0,16,361,513,-152,10,34,7134
2011-2012,12,Trinity,22,2,0,20,251,963,-712,5,13,7134
2012-2013,1,East Grinstead,26,25,1,0,1277,207,1070,22,124,7134
2012-2013,2,Basingstoke,26,22,1,3,1085,295,790,19,109,7134
2012-2013,3,Chichester,26,22,0,4,857,394,463,21,109,7134
2012-2013,4,Wimbledon,26,17,0,9,704,459,245,15,83,7134
2012-2013,5,Dover,26,13,1,12,470,578,-108,10,64,7134
2012-2013,6,Hove,26,12,1,13,629,575,54,14,64,7134
2012-2013,7,Sidcup,26,12,1,13,475,509,-34,10,60,7134
2012-2013,8,Cobham,26,12,0,14,608,747,-139,12,60,7134
2012-2013,9,Havant,26,11,0,15,544,698,-154,12,56,7134
2012-2013,10,Haywards Heath,26,10,1,15,361,638,-277,10,52,7134
2012-2013,11,Beckenham,26,10,1,15,354,694,-340,4,46,7134
2012-2013,12,Gosport & Fareham,26,8,2,16,445,750,-305,10,46,7134
2012-2013,13,Trojans,26,1,2,23,341,1006,-665,9,17,7134
2012-2013,14,Old Colfeians,26,1,1,24,327,927,-600,9,15,7134
2013-2014,1,Dorking,26,22,1,3,1048,384,664,21,111,7134
2013-2014,2,Old Elthamians,26,22,2,2,961,376,585,19,111,7134
2013-2014,3,East Grinstead,26,19,1,6,792,379,413,17,95,7134
2013-2014,4,Tonbridge Juddians,26,17,2,7,712,583,129,13,85,7134
2013-2014,5,Guernsey,26,15,1,10,733,487,246,17,79,7134
2013-2014,6,Tring,26,14,0,12,667,574,93,14,70,7134
2013-2014,7,Bury St Edmunds,26,13,1,12,729,687,42,16,70,7134
2013-2014,8,Hertford,26,13,1,12,645,557,88,14,68,7134
2013-2014,9,CS Stags 1863,26,10,3,13,622,695,-73,14,60,7134
2013-2014,10,Westcombe Park,26,11,0,15,611,649,-38,11,55,7134
2013-2014,11,Barnes,26,9,0,17,519,790,-271,15,51,7134
2013-2014,12,Basingstoke,26,7,1,18,583,838,-255,13,43,7134
2013-2014,13,Thurrock,26,3,1,22,441,1016,-575,6,20,7134
2013-2014,14,Barking,26,0,0,26,329,1377,-1048,6,6,7134
2014-2015,1,Bury St Edmunds,26,20,0,6,800,401,399,18,98,7134
2014-2015,2,Barnes,26,19,0,7,638,492,146,15,91,7134
2014-2015,3,London Irish Wild Geese,26,19,0,7,681,524,157,14,90,7134
2014-2015,4,East Grinstead,26,16,0,10,599,429,170,14,78,7134
2014-2015,5,Westcombe Park,26,14,0,12,630,473,157,22,73,7134
2014-2015,6,Hertford,26,14,0,12,615,565,50,12,68,7134
2014-2015,7,Chichester,26,12,1,13,547,612,-65,13,63,7134
2014-2015,8,Tonbridge Juddians,26,11,1,14,582,591,-9,15,61,7134
2014-2015,9,Gravesend,26,11,1,14,509,614,-105,9,55,7134
2014-2015,10,Guernsey,26,11,0,15,617,650,-33,14,53,7134
2014-2015,11,Westcliff,26,9,0,17,516,681,-165,12,48,7134
2014-2015,12,Tring,26,9,1,16,500,695,-195,10,48,7134
2014-2015,13,Amersham & Chiltern,26,9,0,17,489,610,-121,11,47,7134
2014-2015,14,CS Stags 1863,26,6,0,20,481,867,-386,11,35,7134
2015-2016,1,London Irish Wild Geese,26,21,4,1,791,442,349,16,108,7134
2015-2016,2,Tonbridge Juddians,26,21,1,4,833,395,438,21,102,7134
2015-2016,3,East Grinstead,26,20,1,5,687,337,350,17,99,7134
2015-2016,4,Hertford,26,18,1,7,749,431,318,15,89,7134
2015-2016,5,Westcombe Park,26,17,1,8,738,421,317,17,87,7134
2015-2016,6,Guernsey,26,15,0,11,666,592,74,16,76,7134
2015-2016,7,Shelford,26,14,0,12,597,542,55,17,73,7134
2015-2016,8,Wimbledon,26,13,0,13,635,492,143,12,64,7134
2015-2016,9,Colchester,26,12,0,14,567,616,-49,11,59,7134
2015-2016,10,Chichester,26,10,0,16,484,609,-125,12,52,7134
2015-2016,11,Bracknell,26,9,0,17,478,702,-224,10,46,7134
2015-2016,12,Westcliff,26,5,0,21,427,814,-387,8,28,7134
2015-2016,13,Gravesend,26,3,0,23,378,809,-431,8,20,7134
2015-2016,14,Eton Manor,26,0,0,26,277,1105,-828,5,5,7134
2017-2018,1,Hellingly,14,14,0,0,483,140,343,12,69,7134
2017-2018,2,East Grinstead,14,11,0,3,429,171,258,9,53,7134
2017-2018,3,Uckfield,14,9,0,5,349,279,70,10,46,7134
2018-2019,1,East Grinstead,6,4,0,2,143,79,64,5,50,7134
2018-2019,2,Plumpton,6,3,1,2,110,110,0,2,34,7134
2018-2019,3,Seaford,6,2,0,4,70,151,-81,0,32,7134
2019-2020,1,Crawley,12,10,1,1,405,174,231,7,65,7134
2019-2020,2,East Grinstead,13,10,0,3,352,218,134,7,57,7134
2019-2020,3,Eastbourne,13,8,1,4,304,215,89,9,55,7134
2019-2020,4,Burgess Hill,13,8,0,5,347,261,86,8,49,7134
2019-2020,5,Hellingly,12,7,0,5,302,304,-2,9,49,7134
2019-2020,6,Seaford,14,5,1,8,274,353,-79,6,31,7134
2019-2020,7,Lewes,12,4,0,8,214,250,-36,6,18,7134
2019-2020,8,Hove II,13,3,0,10,171,401,-230,2,17,7134
2019-2020,9,Barns Green,12,0,1,11,177,370,-193,2,1,7134
2019-2020,10,Ditchling,0,0,0,0,0,0,0,0,0,7134
2019-2020,11,Haywards Heath II,0,0,0,0,0,0,0,0,0,7134
2019-2020,12,Plumpton,0,0,0,0,0,0,0,0,0,7134
2021-2022,1,East Grinstead,14,14,0,0,528,127,401,10,69,7134
2021-2022,2,Uckfield,14,11,1,2,296,159,137,8,57,7134
2021-2022,3,Eastbourne,14,9,0,5,368,301,67,8,45,7134
2021-2022,4,Burgess Hill,14,6,1,7,326,373,-47,8,34,7134
2021-2022,5,Lewes,14,5,0,9,239,370,-131,6,27,7134
2021-2022,6,Seaford,14,4,0,10,179,440,-261,3,20,7134
2021-2022,7,Hellingly,14,2,0,12,210,392,-182,6,14,7134
2021-2022,8,Hove II,14,4,0,10,203,187,16,3,4,7134
2022-2023,7,Dursley,1,0,0,1,7,37,-30,0,0,7134
2022-2023,8,East Grinstead,1,1,0,0,26,22,4,0,0,7134
2022-2023,9,Eastbourne,1,1,0,0,30,24,6,0,0,7134
2023-2024,1,Dover,1,0,0,1,36,42,-6,1,1,7134
2023-2024,2,East Grinstead,1,1,0,0,42,36,6,1,1,7134
2023-2024,3,Pirates Amateurs,1,1,0,0,37,3,34,1,1,7134
2024-2025,5,Dorchester,1,0,0,1,0,0,0,0,0,7134
2024-2025,6,East Grinstead,1,1,0,0,45,37,8,0,0,7134
2024-2025,7,Epping Upper Clapton,1,0,0,1,0,0,0,0,0,7134
2025-2026,19,Dorchester,1,1,0,0,0,0,0,0,0,7134
2025-2026,20,East Grinstead,1,1,0,0,40,26,14,0,0,7134
2025-2026,21,Exeter Saracens,1,0,0,1,0,0,0,0,0,7134
