match_id,season,date,date_raw,competition,home_team,away_team,home_score,away_score
62047,2003-2004,2003-09-13,"Saturday, 13 Sep 2003",London 4 South East,Folkestone,East Grinstead,36,5
62055,2003-2004,2003-09-27,"Saturday, 27 Sep 2003",London 4 South East,East Grinstead,Betteshanger,19,15
62059,2003-2004,2003-10-04,"Saturday, 04 Oct 2003",London 4 South East,Uckfield,East Grinstead,14,18
62065,2003-2004,2003-10-11,"Saturday, 11 Oct 2003",London 4 South East,East Grinstead,Eastbourne,16,12
62067,2003-2004,2003-10-25,"Saturday, 25 Oct 2003",London 4 South East,Crawley,East Grinstead,28,17
62075,2003-2004,2003-11-01,"Saturday, 01 Nov 2003",London 4 South East,East Grinstead,Old Dunstonians,29,12
62079,2003-2004,2003-11-08,"Saturday, 08 Nov 2003",London 4 South East,Aylesford Bulls,East Grinstead,27,22
62085,2003-2004,2003-11-29,"Saturday, 29 Nov 2003",London 4 South East,East Grinstead,Ashford,12,8
62086,2003-2004,2003-12-06,"Saturday, 06 Dec 2003",London 4 South East,Bromley,East Grinstead,14,10
62095,2003-2004,2003-12-20,"Saturday, 20 Dec 2003",London 4 South East,East Grinstead,Aylesford Bulls,3,23
62098,2003-2004,2004-01-10,"Saturday, 10 Jan 2004",London 4 South East,Old Dunstonians,East Grinstead,16,20
62105,2003-2004,2004-01-24,"Saturday, 24 Jan 2004",London 4 South East,East Grinstead,Crawley,12,0
62110,2003-2004,2004-01-31,"Saturday, 31 Jan 2004",London 4 South East,Eastbourne,East Grinstead,17,10
62115,2003-2004,2004-02-14,"Saturday, 14 Feb 2004",London 4 South East,East Grinstead,Uckfield,59,8
62118,2003-2004,2004-02-21,"Saturday, 21 Feb 2004",London 4 South East,Betteshanger,East Grinstead,8,13
62125,2003-2004,2004-03-13,"Saturday, 13 Mar 2004",London 4 South East,East Grinstead,Folkestone,18,10
62130,2003-2004,2004-04-03,"Saturday, 03 Apr 2004",London 4 South East,East Grinstead,Bromley,18,10
62135,2003-2004,2004-04-17,"Saturday, 17 Apr 2004",London 4 South East,Ashford,East Grinstead,12,12
75265,2004-2005,2004-09-11,"Saturday, 11 Sep 2004",London 4 South East,East Grinstead,Bromley,18,18
75270,2004-2005,2004-09-25,"Saturday, 25 Sep 2004",London 4 South East,Lordswood,East Grinstead,15,9
75275,2004-2005,2004-10-02,"Saturday, 02 Oct 2004",London 4 South East,East Grinstead,Old Dunstonians,7,25
75277,2004-2005,2004-10-09,"Saturday, 09 Oct 2004",London 4 South East,Ashford,East Grinstead,,
75285,2004-2005,2004-10-23,"Saturday, 23 Oct 2004",London 4 South East,East Grinstead,Eastbourne,24,25
75289,2004-2005,2004-10-30,"Saturday, 30 Oct 2004",London 4 South East,East Grinstead,Old Elthamians,20,22
75296,2004-2005,2004-11-13,"Saturday, 13 Nov 2004",London 4 South East,Crawley,East Grinstead,13,38
75299,2004-2005,2004-11-20,"Saturday, 20 Nov 2004",London 4 South East,East Grinstead,Hove,20,10
75304,2004-2005,2004-12-04,"Saturday, 04 Dec 2004",London 4 South East,Betteshanger,East Grinstead,16,11
75309,2004-2005,2004-12-18,"Saturday, 18 Dec 2004",London 4 South East,East Grinstead,Crawley,27,0
75312,2004-2005,2005-01-08,"Saturday, 08 Jan 2005",London 4 South East,Old Elthamians,East Grinstead,23,0
75318,2004-2005,2005-01-22,"Saturday, 22 Jan 2005",London 4 South East,Eastbourne,East Grinstead,19,7
75325,2004-2005,2005-01-29,"Saturday, 29 Jan 2005",London 4 South East,East Grinstead,Ashford,22,13
75331,2004-2005,2005-02-19,"Saturday, 19 Feb 2005",London 4 South East,Old Dunstonians,East Grinstead,37,3
75335,2004-2005,2005-02-26,"Saturday, 26 Feb 2005",London 4 South East,East Grinstead,Lordswood,36,12
75339,2004-2005,2005-03-12,"Saturday, 12 Mar 2005",London 4 South East,Bromley,East Grinstead,15,16
75344,2004-2005,2005-04-02,"Saturday, 02 Apr 2005",London 4 South East,East Grinstead,Betteshanger,15,20
75348,2004-2005,2005-04-09,"Saturday, 09 Apr 2005",London 4 South East,Hove,East Grinstead,37,5
94263,2005-2006,2005-09-10,"Saturday, 10 Sep 2005",London 4 South East,Charlton Park,East Grinstead,15,16
94271,2005-2006,2005-09-24,"Saturday, 24 Sep 2005",London 4 South East,East Grinstead,Sittingbourne,23,24
94275,2005-2006,2005-10-01,"Saturday, 01 Oct 2005",London 4 South East,Dover,East Grinstead,31,13
94281,2005-2006,2005-10-08,"Saturday, 08 Oct 2005",London 4 South East,East Grinstead,Eastbourne,17,22
94283,2005-2006,2005-10-22,"Saturday, 22 Oct 2005",London 4 South East,Hove,East Grinstead,23,14
94291,2005-2006,2005-10-29,"Saturday, 29 Oct 2005",London 4 South East,East Grinstead,Betteshanger,3,17
94295,2005-2006,2005-11-12,"Saturday, 12 Nov 2005",London 4 South East,Old Elthamians,East Grinstead,49,0
94301,2005-2006,2005-12-03,"Saturday, 03 Dec 2005",London 4 South East,East Grinstead,Bromley,3,14
