season,#,TEAM,P,W,D,L,PF,PA,PD,BP,Pts,team_id
2010-2011,1,Uckfield,22,22,0,0,1034,133,901,16,105,7136
2010-2011,2,Burgess Hill,22,16,0,6,585,260,325,13,77,7136
2010-2011,3,Holbrook,22,14,0,8,458,444,14,12,69,7136
2010-2011,4,Pulborough,22,15,0,7,529,390,139,13,68,7136
2010-2011,5,Hastings & Bexhill,22,14,0,8,600,278,322,11,68,7136
2010-2011,6,Seaford,22,11,1,10,424,401,23,9,56,7136
2010-2011,7,Brighton II,22,11,1,10,489,326,163,9,45,7136
2010-2011,8,Rye,22,7,0,15,306,543,-237,8,38,7136
2010-2011,9,East Grinstead II,22,6,0,16,338,512,-174,9,33,7136
2010-2011,10,Worthing III,22,8,0,14,434,564,-130,11,28,7136
2010-2011,11,Eastbourne II,22,4,0,18,231,662,-431,7,23,7136
2010-2011,12,St Francis,22,3,0,19,109,1024,-915,0,12,7136
2011-2012,1,Pulborough,18,14,0,4,580,213,367,16,72,7136
2011-2012,2,East Grinstead II,18,13,0,5,376,220,156,9,62,7136
2011-2012,3,Burgess Hill,18,13,0,5,365,234,131,7,54,7136
2011-2012,4,Seaford,18,8,0,10,319,308,11,10,43,7136
2011-2012,5,Holbrook,18,7,0,11,360,373,-13,11,39,7136
2011-2012,6,Newick,18,7,0,11,342,452,-110,6,34,7136
2011-2012,7,Rye,18,7,0,11,275,439,-164,4,33,7136
2011-2012,8,Brighton II,18,10,0,8,437,322,115,6,32,7136
2011-2012,9,Eastbourne II,18,5,0,13,245,505,-260,6,27,7136
2011-2012,10,Chichester III,18,6,0,12,237,470,-233,4,8,7136
2011-2012,11,Worthing III,,0,0,0,0,0,0,0,0,7136
2012-2013,1,Dorking A XV,18,18,0,0,721,175,546,13,85,7136
2012-2013,2,Rosslyn Park Hatters (5th XV),17,12,0,5,447,383,64,9,62,7136
2012-2013,3,East Grinstead II,17,12,0,5,336,220,116,7,59,7136
2012-2013,4,London Cornish 2nd XV,16,8,0,8,308,295,13,8,48,7136
2012-2013,5,Old Reigatian 2nd XV,17,8,0,9,325,348,-23,7,47,7136
2012-2013,6,Guildford 2nd XV,17,6,0,11,283,415,-132,6,40,7136
