match_id,season,date,date_raw,competition,home_team,away_team,home_score,away_score
253665,2010-2011,2010-09-11,"Saturday, 11 Sep 2010",Sussex Spitfire 1,East Grinstead II,Rye,20,7
253676,2010-2011,2010-09-18,"Saturday, 18 Sep 2010",Sussex Spitfire 1,Uckfield,East Grinstead II,51,5
253677,2010-2011,2010-09-25,"Saturday, 25 Sep 2010",Sussex Spitfire 1,East Grinstead II,Hastings & Bexhill,10,43
253688,2010-2011,2010-10-02,"Saturday, 02 Oct 2010",Sussex Spitfire 1,Eastbourne II,East Grinstead II,3,7
253689,2010-2011,2010-10-09,"Saturday, 09 Oct 2010",Sussex Spitfire 1,East Grinstead II,Brighton II,15,14
253700,2010-2011,2010-10-23,"Saturday, 23 Oct 2010",Sussex Spitfire 1,Holbrook,East Grinstead II,22,10
253701,2010-2011,2010-10-30,"Saturday, 30 Oct 2010",Sussex Spitfire 1,East Grinstead II,Pulborough,17,31
253712,2010-2011,2010-11-13,"Saturday, 13 Nov 2010",Sussex Spitfire 1,Worthing III,East Grinstead II,44,24
253713,2010-2011,2010-11-20,"Saturday, 20 Nov 2010",Sussex Spitfire 1,East Grinstead II,St Francis,51,3
278421,2010-2011,2010-12-11,"Saturday, 11 Dec 2010",Sussex Spitfire 1,Seaford,East Grinstead II,17,10
253742,2010-2011,2011-01-08,"Saturday, 08 Jan 2011",Sussex Spitfire 1,Hastings & Bexhill,East Grinstead II,17,12
253748,2010-2011,2011-01-15,"Saturday, 15 Jan 2011",Sussex Spitfire 1,East Grinstead II,Eastbourne II,12,0
253754,2010-2011,2011-01-22,"Saturday, 22 Jan 2011",Sussex Spitfire 1,Brighton II,East Grinstead II,47,7
253760,2010-2011,2011-01-29,"Saturday, 29 Jan 2011",Sussex Spitfire 1,East Grinstead II,Holbrook,27,32
253766,2010-2011,2011-02-05,"Saturday, 05 Feb 2011",Sussex Spitfire 1,Pulborough,East Grinstead II,27,0
253724,2010-2011,2011-02-12,"Saturday, 12 Feb 2011",Sussex Spitfire 1,Burgess Hill,East Grinstead II,31,0
253771,2010-2011,2011-02-19,"Saturday, 19 Feb 2011",Sussex Spitfire 1,East Grinstead II,Worthing III,5,10
253736,2010-2011,2011-02-26,"Saturday, 26 Feb 2011",Sussex Spitfire 1,East Grinstead II,Uckfield,12,45
253778,2010-2011,2011-03-05,"Saturday, 05 Mar 2011",Sussex Spitfire 1,St Francis,East Grinstead II,0,67
253784,2010-2011,2011-03-12,"Saturday, 12 Mar 2011",Sussex Spitfire 1,East Grinstead II,Burgess Hill,12,48
278422,2010-2011,2011-03-26,"Saturday, 26 Mar 2011",Sussex Spitfire 1,East Grinstead II,Seaford,,
253796,2010-2011,2011-04-09,"Saturday, 09 Apr 2011",Sussex Spitfire 1,Rye,East Grinstead II,20,15
297217,2011-2012,2011-09-17,"Saturday, 17 Sep 2011",Sussex Spitfire 1,East Grinstead II,Newick,6,26
297223,2011-2012,2011-09-24,"Saturday, 24 Sep 2011",Sussex Spitfire 1,Holbrook,East Grinstead II,19,20
297227,2011-2012,2011-10-01,"Saturday, 01 Oct 2011",Sussex Spitfire 1,East Grinstead II,Eastbourne II,28,17
297234,2011-2012,2011-10-08,"Saturday, 08 Oct 2011",Sussex Spitfire 1,Pulborough,East Grinstead II,25,7
297239,2011-2012,2011-10-22,"Saturday, 22 Oct 2011",Sussex Spitfire 1,Seaford,East Grinstead II,10,13
297244,2011-2012,2011-10-29,"Saturday, 29 Oct 2011",Sussex Spitfire 1,East Grinstead II,Chichester III,46,0
297254,2011-2012,2011-11-19,"Saturday, 19 Nov 2011",Sussex Spitfire 1,East Grinstead II,Burgess Hill,18,11
297256,2011-2012,2011-12-03,"Saturday, 03 Dec 2011",Sussex Spitfire 1,Brighton II,East Grinstead II,,
297263,2011-2012,2011-12-10,"Saturday, 10 Dec 2011",Sussex Spitfire 1,East Grinstead II,Rye,12,13
297267,2011-2012,2011-12-17,"Saturday, 17 Dec 2011",Sussex Spitfire 1,Newick,East Grinstead II,5,7
297272,2011-2012,2012-01-07,"Saturday, 07 Jan 2012",Sussex Spitfire 1,East Grinstead II,Holbrook,31,8
297278,2011-2012,2012-01-14,"Saturday, 14 Jan 2012",Sussex Spitfire 1,Eastbourne II,East Grinstead II,12,36
297282,2011-2012,2012-01-28,"Saturday, 28 Jan 2012",Sussex Spitfire 1,East Grinstead II,Pulborough,34,7
297293,2011-2012,2012-02-18,"Saturday, 18 Feb 2012",Sussex Spitfire 1,Chichester III,East Grinstead II,16,15
297289,2011-2012,2012-02-25,"Saturday, 25 Feb 2012",Sussex Spitfire 1,East Grinstead II,Seaford,23,17
297300,2011-2012,2012-03-10,"Saturday, 10 Mar 2012",Sussex Spitfire 1,Burgess Hill,East Grinstead II,7,15
297308,2011-2012,2012-03-24,"Saturday, 24 Mar 2012",Sussex Spitfire 1,East Grinstead II,Brighton II,15,19
297311,2011-2012,2012-03-31,"Saturday, 31 Mar 2012",Sussex Spitfire 1,Rye,East Grinstead II,8,50
353672,2012-2013,2012-09-15,"Saturday, 15 Sep 2012",Division 3S,Cobham 2nd XV,East Grinstead II,0,10
353676,2012-2013,2012-09-22,"Saturday, 22 Sep 2012",Division 3S,East Grinstead II,London Cornish 2nd XV,6,15
353678,2012-2013,2012-09-29,"Saturday, 29 Sep 2012",Division 3S,Sutton & Epsom 2nd XV,East Grinstead II,16,54
353682,2012-2013,2012-10-06,"Saturday, 06 Oct 2012",Division 3S,Guildford 2nd XV,East Grinstead II,18,40
353685,2012-2013,2012-10-13,"Saturday, 13 Oct 2012",Division 3S,Wimbledon 2nd XV,East Grinstead II,18,25
353690,2012-2013,2012-10-20,"Saturday, 20 Oct 2012",Division 3S,Dorking A XV,East Grinstead II,34,12
353693,2012-2013,2012-10-27,"Saturday, 27 Oct 2012",Division 3S,East Grinstead II,Old Reigatian 2nd XV,28,12
353698,2012-2013,2012-11-03,"Saturday, 03 Nov 2012",Division 3S,Rosslyn Park Hatters (5th XV),East Grinstead II,3,32
359421,2012-2013,2012-12-15,"Saturday, 15 Dec 2012",Division 3S,Bournemouth II,East Grinstead II,,
353714,2012-2013,2013-01-05,"Saturday, 05 Jan 2013",Division 3S,East Grinstead II,Cobham 2nd XV,31,5
353724,2012-2013,2013-01-26,"Saturday, 26 Jan 2013",Division 3S,East Grinstead II,Sutton & Epsom 2nd XV,10,0
353728,2012-2013,2013-02-09,"Saturday, 09 Feb 2013",Division 3S,East Grinstead II,Wimbledon 2nd XV,24,17
353721,2012-2013,2013-02-23,"Saturday, 23 Feb 2013",Division 3S,London Cornish 2nd XV,East Grinstead II,32,11
353739,2012-2013,2013-03-09,"Saturday, 09 Mar 2013",Division 3S,Old Reigatian 2nd XV,East Grinstead II,12,20
353743,2012-2013,2013-03-23,"Saturday, 23 Mar 2013",Division 3S,East Grinstead II,Rosslyn Park Hatters (5th XV),0,10
353734,2012-2013,2013-04-13,"Saturday, 13 Apr 2013",Division 3S,East Grinstead II,Dorking A XV,13,28
359429,2012-2013,2013-04-13,"Saturday, 13 Apr 2013",Division 3S,East Grinstead II,Bournemouth II,10,0
353758,2012-2013,2013-04-27,"Saturday, 27 Apr 2013",Division 3S,East Grinstead II,Guildford 2nd XV,10,0
401807,2013-2014,2013-09-07,"Saturday, 07 Sep 2013",Division 2 South,East Grinstead II,Hammersmith & Fulham II,68,0
