season,squad,league,level,rank,teams,team_id,competition_id,division_id
2025/26,1st,Counties 2 Sussex,8,2,10,7134,261,66676
2024/25,1st,Counties 1 Surrey/Sussex,7,11,12,7134,261,56612
2023/24,1st,Counties 1 Surrey/Sussex,7,8,12,7134,261,47017
2022/23,1st,Counties 2 Sussex,8,2,10,7134,261,39123
2021/22,1st,Harvey's of Sussex 1,9,1,10,7134,206,37805
2020/21,1st,-,,,,7134,,
2019/20,1st,Harvey's of Sussex 1,9,2,12,7134,261,21526
2018/19,1st,Harvey's of Sussex 1,9,5,8,7134,261,14030
2017/18,1st,Harvey's of Sussex 1,9,2,8,7134,261,11128
2016/17,1st,-,,,,7134,,
2015/16,1st,National League 3 London & SE,5,3,14,7134,261,9051
2014/15,1st,National League 3 London & SE,5,4,14,7134,261,8181
2013/14,1st,National League 3 London & SE,5,3,14,7134,261,7322
2012/13,1st,London 1 South,6,1,14,7134,261,6422
2011/12,1st,London 2 South East,7,1,12,7134,261,5771
2010/11,1st,London 2 South East,7,4,12,7134,261,4889
2009/10,1st,London 3 South East,8,1,12,7134,261,4280
2008/09,1st,London 4 South East,8,9,12,7134,261,3595
2007/08,1st,Sussex 1,9,2,9,7134,261,3242
2006/07,1st,Sussex 1,9,6,10,7134,261,2978
2005/06,1st,London 4 South East,8,10,10,7134,261,2645
2004/05,1st,London 4 South East,8,8,10,7134,261,2289
2003/04,1st,London 4 South East,8,4,10,7134,261,1889
2025/26,2nd,Harvey's Brewery Counties 3 Sussex,9,6,10,7136,206,70706
2024/25,2nd,Harvey's Brewery Counties 3 Sussex,9,4,10,7136,206,57767
2023/24,2nd,Harvey's Wharf IPA Counties 4 Sussex East,10,1,5,7136,206,56757
2022/23,2nd,Harvey's Wharf IPA Counties 4 Sussex,10,5,7,7136,206,39812
2021/22,2nd,Harvey's Olympia Sussex 3 Central,11,2,6,7136,206,32343
2020/21,2nd,-,,,,7136,,
2019/20,2nd,Sussex 3 East,11,5,9,7136,206,28078
2018/19,2nd,"Sussex 3 East ""Bonfire Boy""",11,2,8,7136,206,15920
2017/18,2nd,"Sussex 3 ""Forwards Choice""",11,3,10,7136,206,11650
2016/17,2nd,-,,,,7136,,
2015/16,2nd,Raging Bull Shield 3 Conference 1,8,1,6,7136,1756,9319
2014/15,2nd,Raging Bull Shield 3,8,6,10,7136,1756,8320
2013/14,2nd,Raging Bull Shield 2 South,7,8,10,7136,1756,7814
2012/13,2nd,Raging Bull Shield 3 South,8,3,11,7136,1756,6681
2011/12,2nd,Sussex Spitfire 1,9,2,11,7136,261,5774
2010/11,2nd,Sussex Spitfire 1,9,9,12,7136,261,4892
2019/20,3rd,Sussex 4,12,2,7,7137,206,28080
2018/19,3rd,"Sussex 4 East ""Albion Ale""",12,5,6,7137,206,15903
2017/18,3rd,"Sussex 4 East ""Bonfire Boy""",12,7,10,7137,206,11652
