#,TEAM,P,W,D,L,PF,PA,PD,TB,LB,Pts
1,Crawley,12,10,1,1,405,174,231,7,0,65
2,East Grinstead,13,10,0,3,352,218,134,7,0,57
3,Eastbourne,13,8,1,4,304,215,89,6,3,55
4,Burgess Hill,13,8,0,5,347,261,86,7,1,49
5,Hellingly,12,7,0,5,302,304,-2,8,1,49
6,Seaford,14,5,1,8,274,353,-79,5,1,31
7,Lewes,12,4,0,8,214,250,-36,3,3,18
8,Hove II,13,3,0,10,171,401,-230,2,0,17
9,Barns Green,12,0,1,11,177,370,-193,2,0,1
10,Ditchling,0,0,0,0,0,0,0,0,0,0
11,Haywards Heath II,0,0,0,0,0,0,0,0,0,0
12,Plumpton,0,0,0,0,0,0,0,0,0,0
