match_id,season,league,date,home_team,away_team,home_score,away_score
1237832,2025-2026,Counties 2 Sussex,2025-10-04,Ditchling,Brighton II,19,48
1220043,2025-2026,Counties 2 Sussex,2025-10-04,Crawley,Lewes,0,36
1220042,2025-2026,Counties 2 Sussex,2025-10-04,Pulborough,Eastbourne II,39,10
1220044,2025-2026,Counties 2 Sussex,2025-10-04,Royals RFC,Shoreham,10,34
1220040,2025-2026,Counties 2 Sussex,2025-10-04,Seaford,East Grinstead,10,27
1232369,2025-2026,Harvey's Brewery Counties 3 Sussex,2025-10-04,Haywards Heath II,Worthing III,54,24
1232371,2025-2026,Harvey's Brewery Counties 3 Sussex,2025-10-04,East Grinstead II,Horsham Barbarians,29,5
1254977,2025-2026,Harvey's Brewery Counties 3 Sussex,2025-10-04,Shoreham II,Uckfield,17,26
1232368,2025-2026,Harvey's Brewery Counties 3 Sussex,2025-10-04,Hellingly,Hove II,17,36
1232370,2025-2026,Harvey's Brewery Counties 3 Sussex,2025-10-04,Crowborough II,Burgess Hill,24,32
1220045,2025-2026,Counties 2 Sussex,2025-10-11,Seaford,Brighton II,57,19
1220046,2025-2026,Counties 2 Sussex,2025-10-11,Lewes,Royals RFC,26,7
1220047,2025-2026,Counties 2 Sussex,2025-10-11,Eastbourne II,Crawley,77,0
1220048,2025-2026,Counties 2 Sussex,2025-10-11,Ditchling,Pulborough,17,17
1220049,2025-2026,Counties 2 Sussex,2025-10-11,East Grinstead,Shoreham,69,12
1232375,2025-2026,Harvey's Brewery Counties 3 Sussex,2025-10-11,Hove II,Haywards Heath II,44,5
1232373,2025-2026,Harvey's Brewery Counties 3 Sussex,2025-10-11,Burgess Hill,East Grinstead II,24,12
1232374,2025-2026,Harvey's Brewery Counties 3 Sussex,2025-10-11,Worthing III,Crowborough II,25,7
1232372,2025-2026,Harvey's Brewery Counties 3 Sussex,2025-10-11,Shoreham II,Hellingly,13,53
1254982,2025-2026,Harvey's Brewery Counties 3 Sussex,2025-10-11,Uckfield,Horsham Barbarians,39,24
1220054,2025-2026,Counties 2 Sussex,2025-10-18,Shoreham,Lewes,33,51
1220053,2025-2026,Counties 2 Sussex,2025-10-18,Royals RFC,Eastbourne II,34,36
1220051,2025-2026,Counties 2 Sussex,2025-10-18,Pulborough,Seaford,51,3
1220050,2025-2026,Counties 2 Sussex,2025-10-18,Brighton II,East Grinstead,21,61
1220052,2025-2026,Counties 2 Sussex,2025-10-18,Crawley,Ditchling,7,97
1232381,2025-2026,Harvey's Brewery Counties 3 Sussex,2025-10-18,Horsham Barbarians,Burgess Hill,5,45
1232379,2025-2026,Harvey's Brewery Counties 3 Sussex,2025-10-18,Crowborough II,Hove II,15,46
1254988,2025-2026,Harvey's Brewery Counties 3 Sussex,2025-10-18,Hellingly,Uckfield,19,45
1220055,2025-2026,Counties 2 Sussex,2025-11-08,Seaford,Crawley,45,3
1220058,2025-2026,Counties 2 Sussex,2025-11-08,Ditchling,Royals RFC,85,0
1220059,2025-2026,Counties 2 Sussex,2025-11-08,East Grinstead,Lewes,43,14
1220056,2025-2026,Counties 2 Sussex,2025-11-08,Brighton II,Pulborough,19,50
1220057,2025-2026,Counties 2 Sussex,2025-11-08,Eastbourne II,Shoreham,22,50
