GameID,Squad,Season,Competition,GameType,Opposition,Home/Away,PF,PA,Result,Captain,VC1,VC2,Number,Player,Position,PositionType
Crawley (H),1st,2021/22,Friendly,Friendly,Crawley,H,34,12,W,Jack Andrews,James Funnell,,1,James Funnell,Prop,Forwards
University of Brighton (A),1st,2021/22,Friendly,Friendly,University of Brighton,A,0,43,L,Jack Andrews,James Funnell,,1,James Funnell,Prop,Forwards
Metropolitan Police (H),1st,2021/22,Friendly,Friendly,Metropolitan Police,H,29,28,W,Jack Andrews,,,1,James Funnell,Prop,Forwards
London Irish (A),1st,2021/22,Friendly,Friendly,London Irish,A,10,33,L,Jack Andrews,Sam Lindsay-McCall,,1,Sean Morgan,Prop,Forwards
Horsham (A),1st,2021/22,Friendly,Friendly,Horsham,A,26,56,L,Jack Andrews,James Funnell,,1,James Funnell,Prop,Forwards
Purley John Fisher (H),1st,2021/22,Friendly,Friendly,Purley John Fisher,H,19,33,L,Jack Andrews,James Funnell,,1,James Funnell,Prop,Forwards
Eastbourne (H),1st,2021/22,Sussex 1,League,Eastbourne,H,47,0,W,Jack Andrews,,,1,Devon Frost,Prop,Forwards
Hellingly (A),1st,2021/22,Sussex 1,League,Hellingly,A,27,12,W,Jack Andrews,James Funnell,,1,Sean Morgan,Prop,Forwards
Burgess Hill (H),1st,2021/22,Sussex 1,League,Burgess Hill,H,64,15,W,Jack Andrews,James Funnell,,1,Devon Frost,Prop,Forwards
Lewes (H),1st,2021/22,Sussex 1,League,Lewes,H,87,10,W,Max Crawley-Moore,,,1,Devon Frost,Prop,Forwards
Uckfield (H),1st,2021/22,Sussex 1,League,Uckfield,H,43,0,W,Max Crawley-Moore,John Peaty,,1,James Funnell,Prop,Forwards
Seaford (A),1st,2021/22,Sussex 1,League,Seaford,A,36,21,W,Max Crawley-Moore,John Peaty,,1,Devon Frost,Prop,Forwards
Horsham (H),1st,2021/22,Friendly,Friendly,Horsham,H,44,26,W,Max Crawley-Moore,John Peaty,,1,Josh Brimecombe,Prop,Forwards
Lewes (A),1st,2021/22,Sussex 1,League,Lewes,A,36,12,W,Max Crawley-Moore,,,1,Josh Brimecombe,Prop,Forwards
Uckfield (A),1st,2021/22,Sussex 1,League,Uckfield,A,21,19,W,Max Crawley-Moore,,,1,Devon Frost,Prop,Forwards
Seaford (H),1st,2021/22,Sussex 1,League,Seaford,H,67,5,W,Max Crawley-Moore,John Peaty,,1,Devon Frost,Prop,Forwards
Eastbourne (A),1st,2021/22,Sussex 1,League,Eastbourne,A,36,3,W,Max Crawley-Moore,,,1,Devon Frost,Prop,Forwards
Burgess Hill (A),1st,2021/22,Sussex 1,League,Burgess Hill,A,64,30,W,Max Crawley-Moore,John Peaty,,1,Devon Frost,Prop,Forwards
Eastbourne (A)2,1st,2021/22,Sussex Cup,Cup,Eastbourne,A,35,31,W,Max Crawley-Moore,,,1,James Funnell,Prop,Forwards
Uckfield (H)2,1st,2021/22,Sussex Cup,Cup,Uckfield,H,57,7,W,Max Crawley-Moore,John Peaty,,1,Devon Frost,Prop,Forwards
Lewes (A),1st,2022/23,Counties 2 Sussex,League,Lewes,A,69,7,W,Max Crawley-Moore,,,1,Sean Morgan,Prop,Forwards
Uckfield (H),1st,2022/23,Counties 2 Sussex,League,Uckfield,H,58,3,W,Max Crawley-Moore,John Peaty,,1,Sean Morgan,Prop,Forwards
Crawley (A),1st,2022/23,Counties 2 Sussex,League,Crawley,A,39,36,W,Max Crawley-Moore,John Peaty,,1,Sean Morgan,Prop,Forwards
Shoreham (H),1st,2022/23,Counties 2 Sussex,League,Shoreham,H,70,11,W,Max Crawley-Moore,John Peaty,,1,Sean Morgan,Prop,Forwards
Seaford (A),1st,2022/23,Counties 2 Sussex,League,Seaford,A,62,17,W,Max Crawley-Moore,,,1,Dave Bridges,Prop,Forwards
Burgess Hill (H),1st,2022/23,Counties 2 Sussex,League,Burgess Hill,H,53,5,W,Max Crawley-Moore,John Peaty,,1,Dave Bridges,Prop,Forwards
Eastbourne (A),1st,2022/23,Counties 2 Sussex,League,Eastbourne,A,15,29,L,Max Crawley-Moore,,,1,Josh Brimecombe,Prop,Forwards
Pulborough (H),1st,2022/23,Counties 2 Sussex,League,Pulborough,H,27,31,L,Max Crawley-Moore,,,1,Sean Morgan,Prop,Forwards
Haywards Heath (A),1st,2022/23,Counties 2 Sussex,League,Haywards Heath,A,35,17,W,Max Crawley-Moore,,,1,Josh Brimecombe,Prop,Forwards
Uckfield (A),1st,2022/23,Counties 2 Sussex,League,Uckfield,A,22,13,W,Max Crawley-Moore,,,1,Guy Collins,Prop,Forwards
Crawley (H),1st,2022/23,Counties 2 Sussex,League,Crawley,H,75,12,W,Max Crawley-Moore,Aaron Boczek,,1,Guy Collins,Prop,Forwards
Shoreham (A),1st,2022/23,Counties 2 Sussex,League,Shoreham,A,57,14,W,John Peaty,,,1,Guy Collins,Prop,Forwards
Seaford (H),1st,2022/23,Counties 2 Sussex,League,Seaford,H,43,5,W,Max Crawley-Moore,,,1,Devon Frost,Prop,Forwards
Burgess Hill (A),1st,2022/23,Counties 2 Sussex,League,Burgess Hill,A,63,0,W,,,,1,Devon Frost,Prop,Forwards
Eastbourne (H),1st,2022/23,Counties 2 Sussex,League,Eastbourne,H,38,32,W,Max Crawley-Moore,,,1,Devon Frost,Prop,Forwards
Pulborough (A),1st,2022/23,Counties 2 Sussex,League,Pulborough,A,35,14,W,Max Crawley-Moore,,,1,Sean Morgan,Prop,Forwards
Haywards Heath (H),1st,2022/23,Counties 2 Sussex,League,Haywards Heath,H,54,17,W,Max Crawley-Moore,,,1,Guy Collins,Prop,Forwards
