Squad,Season,Player,CupStarts,CupBench,LeagueStarts,LeagueBench,FriendlyStarts,FriendlyBench,CompetitiveStarts,CompetitiveBench,TotalStarts,TotalBench,TotalGames,MostCommonPosition,MostCommonPositionType,Player_join,A,T,Con,PK,DG,YC,RC,Points,PPG,Tries,Cons,Pens
2nd,2021/22,Guy Phillips,0.0,0.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,5.0,7,Prop,Forwards,G Phillips,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2nd,2023/24,Mark Oliver,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,4,Hooker,Forwards,M Oliver,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2nd,2024/25,Michael Presland,0.0,0.0,8.0,0.0,2.0,2.0,8.0,0.0,10.0,2.0,12,Prop,Forwards,M Presland,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2nd,2024/25,George Naylor,0.0,0.0,7.0,0.0,2.0,0.0,7.0,0.0,9.0,0.0,9,Prop,Forwards,G Naylor,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2nd,2021/22,Tao Benn,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,5,Second Row,Forwards,T Benn,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0
2nd,2022/23,Dan Arnold,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,Second Row,Forwards,D Arnold,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2nd,2023/24,Will Bramwell,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,4,Back Row,Forwards,W Bramwell,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1st,2022/23,Archie Vickers,0.0,0.0,6.0,3.0,0.0,0.0,6.0,3.0,6.0,3.0,9,Back Row,Forwards,A Vickers,9.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5555555555555556,5.0,0.0,0.0
2nd,2021/22,Rory Evans,2.0,0.0,11.0,1.0,0.0,1.0,13.0,1.0,13.0,2.0,15,Back Row,Forwards,R Evans,15.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.3333333333333333,5.0,0.0,0.0
1st,2024/25,Noah Roberts,0.0,0.0,13.0,1.0,0.0,0.0,13.0,1.0,13.0,1.0,14,Scrum Half,Backs,N Roberts,14.0,4.0,3.0,4.0,0.0,0.0,0.0,38.0,2.7142857142857144,20.0,6.0,12.0
