Match ID,Season,League,Date,Squad,Team,Player,Position,Color1,Color2
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,Nick Whitley-Jones,15,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,Takhy Ndiaye Marrero,14,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,James Turner,13,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,Adam Crook,12,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,Name withheld,11,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,Chris Anson,10,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,Dylan Thomas,9,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,Frazer Falzon,8,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,Ollie Van Hoeken,7,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,Alex Hinchliffe,6,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,Murray Jardine,5,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,William Purdy,4,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,Gordon Costick,3,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,Barney Reed,2,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,Jarrell Bobo,1,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,Alex Taylor,S1,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,Josefata Naga,S2,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Ditchling,alexander basson,S3,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Brighton II,Zane Hanna,15,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Brighton II,Joseph Pratt,14,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Brighton II,Ibrahim Bangura,13,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Brighton II,Hayden Quigg,12,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Brighton II,Angus Taylor,11,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Brighton II,Mathew Bellenie,10,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Brighton II,Zak Ellenger,9,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Brighton II,Will Fitzpatrick,8,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Brighton II,Kameron Forward,7,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Brighton II,Jake Blackburn,6,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Brighton II,Adam Butler,5,gray,black
1237832,2025-2026,Counties 2 Sussex,2025-10-04,1,Brighton II,Josh Blackburn,4,gray,black
