match_id,season,league,date,home_team,away_team,home_score,away_score
1232368,2025-2026,Counties 3 Sussex,2025-10-04,Hellingly,Hove II,36,17
1232370,2025-2026,Counties 3 Sussex,2025-10-04,Crowborough II,Burgess Hill,32,24
1254977,2025-2026,Counties 3 Sussex,2025-10-04,Shoreham II,Uckfield,26,17
1232369,2025-2026,Counties 3 Sussex,2025-10-04,Haywards Heath II,Worthing III,54,24
1232371,2025-2026,Counties 3 Sussex,2025-10-04,East Grinstead II,Horsham Barbarians,29,5
1232372,2025-2026,Counties 3 Sussex,2025-10-11,Shoreham II,Hellingly,53,13
1232375,2025-2026,Counties 3 Sussex,2025-10-11,Hove II,Haywards Heath II,44,5
1232373,2025-2026,Counties 3 Sussex,2025-10-11,Burgess Hill,East Grinstead II,24,12
1254982,2025-2026,Counties 3 Sussex,2025-10-11,Uckfield,Horsham Barbarians,39,24
1232374,2025-2026,Counties 3 Sussex,2025-10-11,Worthing III,Crowborough II,25,7
1232380,2025-2026,Counties 3 Sussex,2025-10-18,East Grinstead II,Worthing III,WO,
1232379,2025-2026,Counties 3 Sussex,2025-10-18,Crowborough II,Hove II,46,15
1232381,2025-2026,Counties 3 Sussex,2025-10-18,Horsham Barbarians,Burgess Hill,45,5
1254988,2025-2026,Counties 3 Sussex,2025-10-18,Hellingly,Uckfield,45,19
1232378,2025-2026,Counties 3 Sussex,2025-10-18,Haywards Heath II,Shoreham II,WO,
1254989,2025-2026,Counties 3 Sussex,2025-11-08,Uckfield,Burgess Hill,29,5
1232385,2025-2026,Counties 3 Sussex,2025-11-08,Hellingly,Haywards Heath II,45,5
1232386,2025-2026,Counties 3 Sussex,2025-11-08,Worthing III,Horsham Barbarians,20,17
1232388,2025-2026,Counties 3 Sussex,2025-11-08,Hove II,East Grinstead II,59,19
1232391,2025-2026,Counties 3 Sussex,2025-11-22,Crowborough II,Hellingly,34,19
1232394,2025-2026,Counties 3 Sussex,2025-11-22,Burgess Hill,Worthing III,40,0
1232393,2025-2026,Counties 3 Sussex,2025-11-22,Horsham Barbarians,Hove II,38,19
1254991,2025-2026,Counties 3 Sussex,2025-11-22,Haywards Heath II,Uckfield,41,19
1232392,2025-2026,Counties 3 Sussex,2025-11-22,East Grinstead II,Shoreham II,WO,
1255716,2025-2026,Counties 3 Sussex,2025-11-29,Worthing III,Uckfield,26,14
1232398,2025-2026,Counties 3 Sussex,2025-11-29,Hove II,Burgess Hill,20,16
1232396,2025-2026,Counties 3 Sussex,2025-11-29,Hellingly,East Grinstead II,WO,
1232395,2025-2026,Counties 3 Sussex,2025-11-29,Shoreham II,Horsham Barbarians,40,24
1232397,2025-2026,Counties 3 Sussex,2025-11-29,Haywards Heath II,Crowborough II,45,29
1232401,2025-2026,Counties 3 Sussex,2025-12-13,East Grinstead II,Haywards Heath II,,WO
1232402,2025-2026,Counties 3 Sussex,2025-12-13,Horsham Barbarians,Hellingly,33,7
1232404,2025-2026,Counties 3 Sussex,2025-12-13,Worthing III,Hove II,42,17
1232403,2025-2026,Counties 3 Sussex,2025-12-13,Burgess Hill,Shoreham II,WO,
