Match ID,Season,League,Date,Team,Player,Position,Color1,Color2
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,James Collins,15,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,Oliver O’Brien,14,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,David Cecil,13,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,Corey Holland,12,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,Charles Julian,11,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,Toby Harrison,10,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,Alexander O'Dell,9,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,Robert Cecil,8,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,Wesley Poku,7,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,Benjamin Jones,6,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,Name withheld,5,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,Jordan Braddock,4,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,William Donegan,3,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,LOUIE DAVIES,2,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,Kenneth Cecil,1,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,Thomas Noble,S1,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,Ethan Dawson,S2,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Rutlishians,Felix Clarke,S3,gold,navy
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Haileyburians,Jon Searle,15,#89273a,white
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Haileyburians,Elliot Hopkin,14,#89273a,white
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Haileyburians,Joshua Bull,13,#89273a,white
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Haileyburians,Joseph Selim,12,#89273a,white
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Haileyburians,Rory Dickson,11,#89273a,white
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Haileyburians,Ollie Mann,10,#89273a,white
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Haileyburians,Alfie Jeavons-Fellows,9,#89273a,white
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Haileyburians,Harry Clesham,8,#89273a,white
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Haileyburians,Thomas Woodruff,7,#89273a,white
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Haileyburians,Harry Harper-Dowe,6,#89273a,white
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Haileyburians,Jack Swingler,5,#89273a,white
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Haileyburians,Tobi Costello,4,#89273a,white
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Haileyburians,Jacob Cummins,3,#89273a,white
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Haileyburians,Oliver L Marsden,2,#89273a,white
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Haileyburians,Joshua Sterne,1,#89273a,white
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Haileyburians,William Barnes,S1,#89273a,white
1136428,2024-2025,Counties 1 Surrey/Sussex,2024-10-12,Old Haileyburians,Edward Walker,S2,#89273a,white
1136445,2024-2025,Counties 1 Surrey/Sussex,2024-10-26,Trinity,Max Farrell,15,lightsteelblue,darkblue
1136445,2024-2025,Counties 1 Surrey/Sussex,2024-10-26,Trinity,Thomas Fairclough,14,lightsteelblue,darkblue
1136445,2024-2025,Counties 1 Surrey/Sussex,2024-10-26,Trinity,Khalil Alleyne,13,lightsteelblue,darkblue
1136445,2024-2025,Counties 1 Surrey/Sussex,2024-10-26,Trinity,Thomas Wilcox,12,lightsteelblue,darkblue
1136445,2024-2025,Counties 1 Surrey/Sussex,2024-10-26,Trinity,Ben Edmondson,11,lightsteelblue,darkblue
1136445,2024-2025,Counties 1 Surrey/Sussex,2024-10-26,Trinity,Benjamin Telfer,10,lightsteelblue,darkblue
1136445,2024-2025,Counties 1 Surrey/Sussex,2024-10-26,Trinity,Harry Wilson,9,lightsteelblue,darkblue
1136445,2024-2025,Counties 1 Surrey/Sussex,2024-10-26,Trinity,Oliver Hubbard,8,lightsteelblue,darkblue
1136445,2024-2025,Counties 1 Surrey/Sussex,2024-10-26,Trinity,Benjamin Vaillant,7,lightsteelblue,darkblue
1136445,2024-2025,Counties 1 Surrey/Sussex,2024-10-26,Trinity,Fuad Agbalaya,6,lightsteelblue,darkblue
1136445,2024-2025,Counties 1 Surrey/Sussex,2024-10-26,Trinity,Thomas Black,5,lightsteelblue,darkblue
1136445,2024-2025,Counties 1 Surrey/Sussex,2024-10-26,Trinity,Edward Wilkie,4,lightsteelblue,darkblue
